Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,NCW05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,15%,20.25,108.8938,4
Low Fat,NCU30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,5.11,161.121,4
Low Fat,NCY42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,6.38,143.347,4
Low Fat,NCZ30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,6.59,121.6098,4
Low Fat,NCY18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,7.285,177.1054,4
Low Fat,NCQ30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,7.725,123.8414,4
Low Fat,NCS06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,7.935,261.591,4
Low Fat,NCE55,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,13%,8.92,176.837,4
Low Fat,NCJ54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,6%,9.895,233.0642,4
Low Fat,NCA18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,6%,10.1,115.7492,4
Low Fat,NCI06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,5%,11.3,179.266,4
Low Fat,NCV06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,7%,11.3,192.2478,4
Low Fat,NCK54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,12.15,114.715,4
Low Fat,NCP18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,12.15,149.3708,4
Low Fat,NCS18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,4%,12.65,106.3938,4
Low Fat,NCS54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,13.6,176.437,4
Low Fat,NCW06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,5%,16.2,190.8162,4
Low Fat,NCQ54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,17.7,168.4474,4
Low Fat,NCI55,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,18.6,120.9414,4
Low Fat,NCG30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,11%,20.2,123.1046,4
Low Fat,NCG43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,7%,20.2,91.4462,4
Low Fat,NCI30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,6%,20.25,247.346,4
Low Fat,NCA06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,14%,20.5,37.219,4
Low Fat,NCR30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,7%,20.6,76.3696,4
Low Fat,FDK55,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,18.5,89.1172,4
Low Fat,NCK19,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,9%,9.8,194.3478,4
Low Fat,NCK07,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,5%,10.65,163.9526,4
Low Fat,NCL07,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,13.85,40.248,4
Low Fat,NCI31,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,8%,20,35.519,4
Low Fat,FDH21,Seafood,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,10.395,159.5604,4
Low Fat,FDX34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,7%,6.195,120.1098,4
Low Fat,FDR58,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,4%,6.675,92.6462,4
Low Fat,FDL33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,10%,7.235,193.9452,4
Low Fat,FDQ58,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,7.315,154.034,4
Low Fat,FDT21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,7.42,248.9092,4
Low Fat,FDK21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,7.905,248.3408,4
Low Fat,FDB22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,11%,8.02,155.2998,4
Low Fat,FDT34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,17%,9.3,104.0964,4
Low Fat,FDT22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,11%,10.395,60.622,4
Low Fat,FDR45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,10.8,238.6222,4
Low Fat,FDP58,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,14%,11.1,218.3482,4
Low Fat,FDT46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,11.35,49.8008,4
Low Fat,FDZ45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,7%,14.1,197.1084,4
Low Fat,FDC47,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,12%,15,226.9694,4
Low Fat,FDJ09,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,6%,15,46.9744,4
Low Fat,FDX45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,11%,16.75,156.663,4
Low Fat,FDR46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,14%,16.85,147.776,4
Low Fat,FDP57,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,5%,17.5,101.299,4
Low Fat,FDY10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,5%,17.6,114.9176,4
Low Fat,FDB59,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,18.25,197.6084,4
Low Fat,FDR09,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,8%,18.25,258.0962,4
Low Fat,FDU34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,8%,18.25,126.3046,4
Low Fat,FDO57,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,11%,20.75,160.9578,4
Low Fat,FDQ21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,21.25,120.8756,4
Low Fat,DRG48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,5.78,146.3102,4
Low Fat,DRJ01,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,12%,6.135,160.5236,4
Low Fat,DRE13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,6.28,85.8198,4
Low Fat,DRJ49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,6.865,127.1652,4
Low Fat,DRD12,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,8%,6.96,91.4146,4
Low Fat,DRK01,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,6%,7.63,94.0436,4
Low Fat,DRH13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,8.575,105.828,4
Low Fat,DRD37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,9.8,47.406,4
Low Fat,DRD49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,17%,9.895,237.7564,4
Low Fat,DRF13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,12.1,144.4444,4
Low Fat,DRL49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,6%,13.15,140.5812,4
Low Fat,DRD13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,5%,15,65.6168,4
Low Fat,FDD35,Starchy Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,12.15,120.244,4
Low Fat,FDD11,Starchy Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,12.85,251.704,4
Low Fat,FDF35,Starchy Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,15%,15,105.9938,4
Low Fat,FDG59,Starchy Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,4%,15.85,39.6164,4
Low Fat,FDX23,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,6.445,94.1436,4
Low Fat,FDF12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,8.235,149.3076,4
Low Fat,FDC48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,9.195,84.1592,4
Low Fat,FDB60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,9.3,195.8136,4
Low Fat,FDE24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,9%,14.85,140.9812,4
Low Fat,FDL36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,15.1,91.583,4
Low Fat,FDN12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,15.6,112.7544,4
Low Fat,FDQ24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,15.7,253.3724,4
Low Fat,FDW48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,18,81.0618,4
Low Fat,FDP11,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,15.85,218.2166,4
Low Fat,FDV47,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,5%,17.1,84.4566,4
Low Fat,FDH38,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,6.425,118.3808,4
Low Fat,FDK14,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,6.98,83.3934,4
Low Fat,FDY13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,12.1,74.767,4
Low Fat,FDT13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,14.85,188.7214,4
Low Fat,FDO38,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,17.25,76.4986,4
Low Fat,FDD50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,14%,18.85,170.4132,4
Low Fat,FDG26,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,18.85,257.633,4
Low Fat,DRI03,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,6.03,176.7028,4
Low Fat,FDS14,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0%,7.285,155.1288,4
Low Fat,FDC39,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0%,7.405,205.7296,4
Low Fat,FDB39,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,11.6,55.8272,4
Low Fat,DRG51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,12.1,166.0526,4
Low Fat,FDW50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,13.1,166.1158,4
Low Fat,FDX14,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,13.1,73.8354,4
Low Fat,DRI39,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,10%,13.8,54.893,4
Low Fat,DRJ51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,9%,14.1,231.1668,4
Low Fat,FDV50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,12%,14.3,123.273,4
Low Fat,FDD39,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,16.7,217.685,4
Low Fat,FDX26,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,9%,17.7,182.3292,4
Low Fat,FDX50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,20.1,110.4228,4
Low Fat,FDT40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,10%,5.985,125.2678,4
Low Fat,FDY52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0%,6.365,59.7536,4
Low Fat,FDJ41,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,6.85,262.0594,4
Low Fat,FDR04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,7.075,98.8068,4
Low Fat,FDF16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,9%,7.3,147.6076,4
Low Fat,FDE16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,8.895,208.4954,4
Low Fat,FDJ16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,12%,9.195,59.5246,4
Low Fat,FDZ04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,9.31,64.551,4
Low Fat,FDG53,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,5%,10,141.818,4
Low Fat,FDJ53,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,10.5,119.7098,4
Low Fat,FDD28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0%,10.695,60.5904,4
Low Fat,FDC17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,12.15,211.2928,4
Low Fat,FDD29,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,12.15,252.7698,4
Low Fat,FDB17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,13.15,181.3976,4
Low Fat,FDG40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,13.65,34.4558,4
Low Fat,FDK41,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,13%,14.3,83.4224,4
Low Fat,FDQ52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,12%,17,246.5434,4
Low Fat,FDO40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,17.1,147.1392,4
Low Fat,FDT04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,11%,17.25,39.3822,4
Low Fat,FDF04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,17.5,259.2304,4
Low Fat,FDI52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,11%,18.7,122.9072,4
Low Fat,FDD05,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,19.35,120.8098,4
Low Fat,FDZ55,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,6.055,158.492,4
Low Fat,FDP32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,9%,6.65,126.8678,4
Low Fat,FDA20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,6.78,186.524,4
Low Fat,FDW56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,7.68,190.8162,4
Low Fat,FDZ44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,8.185,115.4808,4
Low Fat,FDM20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,10,245.4144,4
Low Fat,FDC20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,10.65,56.6272,4
Low Fat,FDL08,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,5%,10.8,243.9144,4
Low Fat,FDI45,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,13.1,173.8054,4
Low Fat,FDE44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,17%,14.65,50.8692,4
Low Fat,FDX55,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,6%,15.1,217.3166,4
Low Fat,FDD57,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,18.1,95.0094,4
Low Fat,FDQ44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,20.5,122.3756,4
Low Fat,DRM35,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,9.695,177.7344,4
Low Fat,DRO59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,5%,11.8,77.0012,4
Low Fat,NCH29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,5.51,98.5726,4
Low Fat,NCJ17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,15%,7.68,86.4224,4
Low Fat,NCN05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,8.235,184.495,4
Low Fat,NCV53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,8.27,238.088,4
Low Fat,NCI29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,8.6,143.6154,4
Low Fat,NCS29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,9,264.8884,4
Low Fat,NCR05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,5%,10.1,199.5084,4
Low Fat,NCT17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,10.8,189.7214,4
Low Fat,NCK17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,11,40.948,4
Low Fat,NCO29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,11.15,163.0526,4
Low Fat,NCM29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,11.5,129.6626,4
Low Fat,NCQ29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0%,12,262.3278,4
Low Fat,NCL41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,4%,12.35,35.7216,4
Low Fat,NCY29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,13.65,55.093,4
Low Fat,NCW29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,14,131.331,4
Low Fat,NCS53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,9%,14.5,159.9604,4
Low Fat,NCX05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,10%,15.2,116.5492,4
Low Fat,NCA41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,16.75,192.3162,4
Low Fat,NCB06,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,17.6,161.492,4
Low Fat,NCS17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,18.6,95.2436,4
Low Fat,NCJ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,5%,18.7,153.6682,4
Low Fat,NCY53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,6%,20,111.6544,4
Low Fat,NCA17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,5%,20.6,150.9392,4
Low Fat,NCS30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0%,5.945,128.9652,4
Low Fat,NCJ43,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,6.635,174.0396,4
Low Fat,NCA42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,6.965,158.1604,4
Low Fat,NCY18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,7.285,174.6054,4
Low Fat,NCK42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,7.475,217.4192,4
Low Fat,NCM06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,7.475,156.4656,4
Low Fat,NCN06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,12%,8.39,165.1868,4
Low Fat,NCH43,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,7%,8.42,215.9192,4
Low Fat,NCT54,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,12%,8.695,93.2094,4
Low Fat,NCE55,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,13%,8.92,175.237,4
Low Fat,NCH06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,12.3,247.946,4
Low Fat,NCY06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,6%,15.25,132.2968,4
Low Fat,NCH55,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0%,16.35,127.902,4
Low Fat,NCX06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,2%,17.6,179.1976,4
Low Fat,NCL42,Household,2020,OUT017,Tier 2,High,Supermarket Type1,4%,18.85,244.0144,4
Low Fat,NCO30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,2%,19.5,183.2608,4
Low Fat,NCI43,Household,2020,OUT017,Tier 2,High,Supermarket Type1,3%,19.85,49.0376,4
Low Fat,NCJ06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,3%,20.1,118.6782,4
Low Fat,NCB43,Household,2020,OUT017,Tier 2,High,Supermarket Type1,10%,20.2,187.7898,4
Low Fat,NCQ42,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0%,20.35,125.1678,4
Low Fat,NCA06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,14%,20.5,34.819,4
Low Fat,FDA39,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,1%,6.32,39.1822,4
Low Fat,FDV15,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,15%,10.3,103.7648,4
Low Fat,FDM03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,12%,12.65,107.7938,4
Low Fat,FDU39,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,4%,18.85,57.3562,4
Low Fat,FDR39,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,8%,20.35,181.7292,4
Low Fat,NCL31,Others,2020,OUT017,Tier 2,High,Supermarket Type1,12%,7.39,143.847,4
Low Fat,NCK07,Others,2020,OUT017,Tier 2,High,Supermarket Type1,5%,10.65,165.8526,4
Low Fat,NCO02,Others,2020,OUT017,Tier 2,High,Supermarket Type1,7%,11.15,66.0142,4
Low Fat,FDH09,Seafood,2020,OUT017,Tier 2,High,Supermarket Type1,6%,12.6,51.3982,4
Low Fat,FDI57,Seafood,2020,OUT017,Tier 2,High,Supermarket Type1,5%,19.85,198.7768,4
Low Fat,FDA33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3%,6.48,146.2076,4
Low Fat,FDF22,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,6%,6.865,211.8218,4
Low Fat,FDZ46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,7%,7.485,108.7228,4
Low Fat,FDH34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3%,8.63,186.0582,4
Low Fat,FDT58,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,9%,9,167.0816,4
Low Fat,FDE34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,11%,9.195,183.6634,4
Low Fat,FDT34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,18%,9.3,107.0964,4
Low Fat,FDZ22,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,5%,9.395,83.425,4
Low Fat,FDC58,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,4%,10.195,44.2428,4
Low Fat,FDZ33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,11%,10.195,148.7076,4
Low Fat,FDV09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,2%,12.1,148.5734,4
Low Fat,FDU22,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,9%,12.35,119.9124,4
Low Fat,FDI22,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,10%,12.6,208.7612,4
Low Fat,FDQ33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,9%,13.35,148.8708,4
Low Fat,FDB34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3%,15.25,86.0198,4
Low Fat,FDX45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,11%,16.75,156.163,4
Low Fat,FDP57,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,5%,17.5,103.799,4
Low Fat,FDY10,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,5%,17.6,115.4176,4
Low Fat,FDZ09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,11%,17.6,165.6868,4
Low Fat,FDJ22,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,5%,18.75,193.6504,4
Low Fat,DRG49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,7%,7.81,246.1486,4
Low Fat,DRI01,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,3%,7.97,171.2422,4
Low Fat,DRE48,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0%,8.43,195.3768,4
Low Fat,DRB24,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,2%,8.785,153.1656,4
Low Fat,DRE60,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,16%,9.395,227.872,4
Low Fat,DRF60,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,5%,10.8,236.5564,4
Low Fat,DRJ24,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,11%,11.8,185.1924,4
Low Fat,DRI13,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,2%,15.35,216.4508,4
Low Fat,DRH36,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,3%,16.2,74.9696,4
Low Fat,DRH37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,4%,17.6,162.7526,4
Low Fat,DRH25,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,1%,18.7,50.8324,4
Low Fat,FDD35,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3%,12.15,119.144,4
Low Fat,FDF47,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,10%,20.85,224.0746,4
Regular,FDE36,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,4%,5.26,162.7868,4
Regular,FDQ36,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,16%,7.855,35.6848,4
Regular,FDW12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,4%,8.315,147.1444,4
Regular,FDJ12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,4%,8.895,206.8296,4
Regular,FDY60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,3%,10.5,145.2128,4
Regular,FDR12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,3%,12.6,172.9764,4
Regular,FDO48,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,3%,15,220.3456,4
Regular,FDU12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,8%,15.5,263.9568,4
Regular,FDX11,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,11%,16,180.5634,4
Regular,FDU60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,6%,20,168.7132,4
Regular,FDV60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,12%,20.2,195.311,4
Regular,FDS24,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,6%,20.85,86.9514,4
Regular,FDQ59,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,6%,9.8,85.8908,4
Regular,FDR11,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,14%,10.5,159.4578,4
Regular,FDF26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,5%,6.825,153.4998,4
Regular,FDG38,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,5%,8.975,86.6224,4
Regular,FDB02,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,3%,9.695,175.437,4
Regular,FDZ49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,13%,11,218.7798,4
Regular,FDI38,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,1%,13.35,208.5638,4
Regular,FDE14,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,3%,13.65,98.77,4
